Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-05-16&team=Diamondbacks&dh=0"">2016-05-16</a>",ARI,NYY,1,2B,1,5,6,2,0,1,1,0,0,3,0,0,2,1,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-05-15&team=Diamondbacks&dh=0"">2016-05-15</a>",ARI,SFG,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-05-14&team=Diamondbacks&dh=0"">2016-05-14</a>",ARI,SFG,1,2B,1,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-13&team=Diamondbacks&dh=0"">2016-05-13</a>",ARI,SFG,1,2B,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-12&team=Diamondbacks&dh=0"">2016-05-12</a>",ARI,SFG,1,2B,1,5,5,3,3,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0.6
"<a href=""wins.aspx?date=2016-05-11&team=Diamondbacks&dh=0"">2016-05-11</a>",ARI,@COL,1,SS-2B,1,5,5,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-05-10&team=Diamondbacks&dh=0"">2016-05-10</a>",ARI,@COL,1,2B,1,5,5,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.6
"<a href=""wins.aspx?date=2016-05-09&team=Diamondbacks&dh=0"">2016-05-09</a>",ARI,@COL,1,2B,1,5,5,2,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0.4
"<a href=""wins.aspx?date=2016-05-08&team=Diamondbacks&dh=0"">2016-05-08</a>",ARI,@ATL,1,2B,1,5,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-05-07&team=Diamondbacks&dh=0"">2016-05-07</a>",ARI,@ATL,1,2B,1,5,5,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-05-06&team=Diamondbacks&dh=0"">2016-05-06</a>",ARI,@ATL,1,2B,1,4,5,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-05&team=Diamondbacks&dh=0"">2016-05-05</a>",ARI,@MIA,1,2B-SS,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-05-04&team=Diamondbacks&dh=0"">2016-05-04</a>",ARI,@MIA,9,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"<a href=""wins.aspx?date=2016-04-30&team=Diamondbacks&dh=0"">2016-04-30</a>",ARI,COL,1,2B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-04-29&team=Diamondbacks&dh=0"">2016-04-29</a>",ARI,COL,1,SS,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-04-28&team=Diamondbacks&dh=0"">2016-04-28</a>",ARI,STL,1,2B,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.25
